Node	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
01/10/2010 00:00	0	0.222	0	0.389	0	0.082	0.052	0.258	0.148	0.106	0.02	0.162	0.638	0	0	0	0.208	0	0.16	0	0	0.246	0	0.198	0	0	0.09	0.708	0.076	0	0	0	0
01/10/2010 00:30	0	0.224	0	0.363	0	0.154	0.224	0.08	0.192	0.07	0.058	0.068	0.122	0	0	0	0.19	0	0.166	0	0	0.236	0	0.166	0	0	0.054	0.613	0.026	0	0	0	0
01/10/2010 01:00	0	0.224	0	0.269	0	0.098	0.192	0.246	0.096	0.128	0.13	0.152	0.294	0	0	0	0.166	0	0.078	0	0	0.306	0	0.06	0	0	0.054	0.533	0.084	0	0	0	0
01/10/2010 01:30	0	0.226	0	0.311	0	0.14	0.052	0.08	0.046	0.046	0.02	0.192	0.076	0	0	0	0.14	0	0.206	0	0	0.194	0	0.06	0	0	0.15	0.595	0.02	0	0	0	0
01/10/2010 02:00	0	0.224	0	0.384	0	0.13	0.232	0.242	0.08	0.126	0.072	0.068	0.246	0	0	0	0.208	0	0.068	0	0	0.344	0	0.06	0	0	0.242	0.612	0.078	0	0	0	0
01/10/2010 02:30	0	0.218	0	0.332	0	0.104	0.18	0.08	0.194	0.044	0.116	0.108	0.19	0	0	0	0.122	0	0.166	0	0	0.186	0	0.162	0	0	0.168	0.493	0.09	0	0	0	0
01/10/2010 03:00	0	0.216	0	0.271	0	0.154	0.052	0.246	0.164	0.126	0.02	0.23	0.122	0	0	0	0.232	0	0.152	0	0	0.272	0	0.194	0	0	0.094	0.442	0.008	0	0	0	0
01/10/2010 03:30	0	0.216	0	0.634	0	0.08	0.238	0.088	0.046	0.044	0.082	0.066	0.296	0	0	0	0.128	0	0.08	0	0	0.256	0	0.072	0	0	0.054	0.358	0.09	0	0	0	0
01/10/2010 04:00	0	0.22	0	0.659	0	0.152	0.21	0.23	0.05	0.126	0.108	0.066	0.062	0	0	0	0.196	0	0.196	0	0	0.182	0	0.06	0	0	0.054	0.471	0.038	0	0	0	0
01/10/2010 04:30	0	0.22	0	0.306	0	0.08	0.052	0.104	0.154	0.05	0.02	0.244	0.25	0	0	0	0.154	0	0.054	0	0	0.334	0	0.06	0	0	0.214	0.526	0.06	0	0	0	0
01/10/2010 05:00	0	0.222	0	0.323	0	0.152	0.2	0.226	0.19	0.118	0.084	0.1	0.18	0	0	0	0.136	0	0.764	0	0	0.796	0	0.116	0	0	0.212	0.356	0.104	0	0	0	0
01/10/2010 05:30	0	0.222	0	0.763	0	0.082	0.232	0.108	0.1	0.058	0.106	0.066	0.12	0	0	0	0.212	0	0.562	0	0	0.564	0	0.2	0	0	0.052	0.367	0.008	0	0	0	0
01/10/2010 06:00	0	0.122	0	1.344	0	0.154	0.08	0.21	0.046	0.11	0.088	0.172	0.284	0	0	0	0.12	0	0.89	0	0	0.45	0	0.108	0	0	0.054	0.858	0.09	0	0	0	0
01/10/2010 06:30	0	0.018	0	0.449	0	0.106	0.13	0.12	0.056	0.072	0.692	0.292	0.066	0	0	0	0.228	0	3.422	0	0	0.296	0	0.06	0	0	0.052	0.414	0.03	0	0	0	0
01/10/2010 07:00	0	0.018	0	1.251	0	0.132	0.232	0.2	0.228	0.098	0.108	0.934	0.22	0	0	0	0.546	0	3.718	0	0	0.2	0	0.06	0	0	0.162	0.44	0.096	0	0	0	0
01/10/2010 07:30	0	0.018	0	0.383	0	0.134	0.102	0.122	4.434	1.044	0.022	0.158	0.256	0	0	0	0.918	0	0.938	0	0	0.106	0	0.07	0	0	0.468	1.186	0.836	0	0	0	0
01/10/2010 08:00	0	0.018	0	0.203	0	0.106	0.112	0.202	0.132	2.09	0.162	0.19	0.65	0	0	0	4.584	0	2.324	0	0	0.258	0	0.206	0	0	0.368	2.772	0.866	0	0	0	0
01/10/2010 08:30	0	0.018	0	0.203	0	0.156	0.234	0.124	0.056	1.644	0.02	2.876	1.928	0	0	0	2.81	0	1.012	0	0	0.108	0	0.146	0	0	0.086	0.934	2.432	0	0	0	0
01/10/2010 09:00	0	0.018	0	0.317	0	0.082	0.146	0.668	0.678	0.072	0.034	2.434	0.062	0	0	0	0.264	0	0.322	0	0	0.206	0	0.06	0	0	0.068	0.296	0.19	0	0	0	0
01/10/2010 09:30	0	0.018	0	0.262	0	0.154	0.068	0.462	0.192	0.096	0.154	0.188	0.24	0	0	0	1.888	0	0.29	0	0	0.162	0	0.06	0	0	0.11	0.245	4.476	0	0	0	0
01/10/2010 10:00	0	0.018	0	0.184	0	0.082	0.238	0.298	0.62	0.11	0.02	0.068	0.176	0	0	0	0.3	0	3.618	0	0	0.132	0	0.06	0	0	0.238	1.22	3.216	0	0	0	0
01/10/2010 10:30	0	0.018	0	0.258	0	0.156	0.162	0.088	0.048	0.054	0.048	0.098	0.114	0	0	0	0.092	0	2.81	0	0	0.228	0	0.176	0	0	0.75	0.677	5.12	0	0	0	0
01/10/2010 11:00	0	0.018	0	0.312	0	0.082	0.052	4.236	1.714	0.126	0.142	0.25	0.284	0	0	0	0.198	0	0.864	0	0	0.108	0	0.184	0	0	1.212	1.642	0.304	0	0	0	0
01/10/2010 11:30	0	0.018	0	0.197	0	0.154	0.242	0.088	0.874	0.042	0.02	0.068	0.068	0	0	0	0.092	0	0.024	0	0	0.256	0	0.056	0	0	0.462	1.173	0.074	0	0	0	0
01/10/2010 12:00	0	0.018	0	0.192	0	0.102	0.18	0.608	1.02	3.568	0.048	0.066	0.224	0	0	0	0.146	0	1.186	0	0	0.108	0	0.056	0	0	0.634	0.504	0.128	0	0	0	0
01/10/2010 12:30	0	0.018	0	0.316	0	0.134	0.052	0.494	0.254	0.384	0.144	0.216	0.202	0	0	0	0.138	0	0.812	0	0	0.212	0	0.058	0	0	0.244	0.371	0.14	0	0	0	0
01/10/2010 13:00	0	0.018	0	0.53	0	0.126	0.224	0.334	0.124	0.428	0.02	0.132	0.082	0	0	0	0.1	0	0.732	0	0	0.158	0	0.134	0	0	0.258	0.322	0.052	0	0	0	0
01/10/2010 13:30	0	0.018	0	0.373	0	0.11	0.184	0.2	1.326	0.134	0.048	0.066	0.288	0	0	0	0.196	0	2.526	0	0	0.138	0	0.194	0	0	0.24	2.232	0.154	0	0	0	0
01/10/2010 14:00	0	0.018	0	0.472	0	0.152	0.052	4	0.21	0.616	0.144	0.18	0.098	0	0	0	0.168	0	0.388	0	0	0.228	0	0.08	0	0	0.274	0.545	0.4	0	0	0	0
01/10/2010 14:30	0	0.018	0	0.937	0	0.084	0.228	0.67	1.01	0.274	0.02	0.166	0.338	0	0	0	0.336	0	0.692	0	0	0.108	0	0.056	0	0	0.08	3.645	0.176	0	0	0	0
01/10/2010 15:00	0	0.018	0	0.252	0	0.154	0.222	0.224	0.122	0.072	0.044	0.066	0.498	0	0	0	0.33	0	0.926	0	0	0.256	0	0.058	0	0	0.064	3.685	0.216	0	0	0	0
01/10/2010 15:30	0	0.018	0	0.188	0	0.082	0.052	0.13	0.41	0.106	0.148	0.106	1.05	0	0	0	0.234	0	3.26	0	0	0.108	0	0.106	0	0	0.062	1.184	0.128	0	0	0	0
01/10/2010 16:00	0	0.018	0	3.015	0	0.154	0.18	0.652	0.276	0.124	1.228	0.246	0.726	0	0	0	0.092	0	6.654	0	0	0.358	0	0.198	0	0	0.294	1.033	0.14	0	0	0	0
01/10/2010 16:30	0	0.018	0	1.173	0	0.082	0.222	0.094	0.386	0.838	0.56	0.066	0.48	0	0	0	0.16	0	2.544	0	0	0.356	0	0.11	0	0	0.404	1.286	0.49	0	0	0	0
01/10/2010 17:00	0	0.018	0	0.735	0	0.156	0.052	0.254	0.35	0.24	0.246	0.066	0.464	0	0	0	0.124	0	0.65	0	0	0.25	0	0.058	0	0	0.23	1.492	2.404	0	0	0	0
01/10/2010 17:30	0	0.016	0	0.626	0	0.082	0.182	0.12	0.472	0.204	0.018	0.206	0.628	0	0	0	0.104	0	2.454	0	0	0.256	0	0.06	0	0	0.346	3.327	2.184	0	0	0	0
01/10/2010 18:00	0	0.022	0	0.478	0	0.156	0.23	0.214	0.946	0.32	1.518	6.274	0.456	0	0	0	0.182	0	3.266	0	0	0.106	0	0.06	0	0	0.694	1.411	2.388	0	0	0	0
01/10/2010 18:30	0	0.206	0	0.622	0	0.108	0.056	0.13	0.856	0.866	4.36	1.144	0.672	0	0	0	0.09	0	3.996	0	0	0.226	0	0.208	0	0	2.252	1.119	2.498	0	0	0	0
01/10/2010 19:00	0	0.212	0	0.668	0	0.132	0.168	0.352	1.27	0.854	0.394	0.662	0.648	0	0	0	0.196	0	0.902	0	0	0.128	0	0.152	0	0	0.882	3.651	0.736	0	0	0	0
01/10/2010 19:30	0	0.214	0	1.025	0	0.132	0.23	0.578	0.76	1.16	1.482	0.412	0.594	0	0	0	0.09	0	1.354	0	0	0.166	0	0.06	0	0	1.362	1.585	0.778	0	0	0	0
01/10/2010 20:00	0	0.214	0	0.812	0	0.11	0.078	0.434	0.908	1.026	0.824	1.33	0.84	0	0	0	0.126	0	1.2	0	0	0.194	0	0.06	0	0	0.664	1.874	0.718	0	0	0	0
01/10/2010 20:30	0	0.216	0	0.509	0	0.152	0.144	3.512	0.902	1.348	0.934	0.638	0.39	0	0	0	0.158	0	1.124	0	0	0.106	0	0.06	0	0	0.708	3.017	0.628	0	0	0	0
01/10/2010 21:00	0	0.216	0	0.44	0	0.088	0.232	1.922	0.708	1.23	1.158	0.668	0.85	0	0	0	0.09	0	0.876	0	0	0.254	0	0.164	0	0	0.642	2.844	0.686	0	0	0	0
01/10/2010 21:30	0	0.214	0	0.408	0	0.154	0.104	3.46	0.644	1.12	0.936	0.346	1.114	0	0	0	0.192	0	0.652	0	0	0.856	0	0.192	0	0	0.35	1.97	0.574	0	0	0	0
01/10/2010 22:00	0	0.216	0	0.519	0	0.082	0.11	0.374	0.732	0.6	0.268	0.61	0.898	0	0	0	0.09	0	0.382	0	0	0.894	0	0.062	0	0	0.066	1.026	0.09	0	0	0	0
01/10/2010 22:30	0	0.218	0	0.468	0	0.156	0.234	0.45	0.628	0.134	0.152	0.8	0.69	0	0	0	0.122	0	0.156	0	0	0.396	0	0.06	0	0	0.052	1.172	0.068	0	0	0	0
01/10/2010 23:00	0	0.218	0	0.391	0	0.082	0.138	0.358	0.564	0.046	0.02	0.652	0.158	0	0	0	0.17	0	0.068	0	0	0.432	0	0.062	0	0	0.184	0.996	0.03	0	0	0	0
01/10/2010 23:30	0	0.22	0	0.462	0	0.154	0.076	0.508	0.36	0.136	0.11	0.21	0.116	0	0	0	2.854	0	0.19	0	0	0.452	0	0.116	0	0	0.184	1.078	0.132	0	0	0	0
02/10/2010 00:00	0	0.22	0	0.44	0	0.082	0.24	0.52	0.156	0.046	0.082	0.25	0.288	0	0	0	2.482	0	0.102	0	0	0.238	0	0.2	0	0	0.054	0.747	0	0	0	0	0
02/10/2010 00:30	0	0.218	0	0.287	0	0.156	0.18	0.658	0.202	0.134	0.02	0.084	0.084	0	0	0	0.166	0	0.124	0	0	0.36	0	0.104	0	0	0.054	1.242	0.088	0	0	0	0
02/10/2010 01:00	0	0.218	0	0.274	0	0.082	0.052	0.33	0.654	0.046	0.144	0.072	0.19	0	0	0	0.228	0	0.19	0	0	0.2	0	0.06	0	0	0.054	0.506	0.066	0	0	0	0
02/10/2010 01:30	0	0.22	0	0.397	0	0.156	0.218	0.236	0.622	0.134	0.052	0.226	0.234	0	0	0	0.128	0	0.034	0	0	0.272	0	0.06	0	0	0.176	0.458	0.072	0	0	0	0
02/10/2010 02:00	0	0.216	0	0.36	0	0.082	0.23	0.082	0.612	0.046	0.02	0.118	0.048	0	0	0	0.168	0	0.192	0	0	0.282	0	0.06	0	0	0.194	0.36	0.09	0	0	0	0
02/10/2010 02:30	0	0.216	0	0.265	0	0.156	0.054	0.23	0.66	0.134	0.164	0.066	0.272	0	0	0	0.182	0	0.11	0	0	0.192	0	0.204	0	0	0.054	0.441	0.008	0	0	0	0
02/10/2010 03:00	0	0.22	0	0.321	0	0.096	0.158	0.09	0.744	0.044	0.03	0.176	0.182	0	0	0	0.124	0	0.116	0	0	0.34	0	0.144	0	0	0.054	0.533	0.09	0	0	0	0
02/10/2010 03:30	0	0.222	0	1.13	0	0.142	0.232	0.22	0.67	0.134	0.02	0.166	0.314	0	0	0	0.228	0	0.188	0	0	0.204	0	0.054	0	0	0.114	0.381	0.016	0	0	0	0
02/10/2010 04:00	0	0.222	0	0.63	0	0.108	0.11	0.114	0.594	0.044	0.176	0.066	0.486	0	0	0	0.122	0	0.04	0	0	0.226	0	0.054	0	0	0.222	0.379	0.082	0	0	0	0
02/10/2010 04:30	0	0.222	0	0.287	0	0.13	0.096	0.192	0.59	0.132	0.02	0.116	0.35	0	0	0	0.174	0	0.192	0	0	0.318	0	0.052	0	0	0.242	0.484	0.1	0	0	0	0
02/10/2010 05:00	0	0.218	0	0.705	0	0.118	0.234	0.136	0.724	0.044	0.02	0.232	0.556	0	0	0	0.178	0	0.08	0	0	0.64	0	0.15	0	0	0.246	1.713	0.01	0	0	0	0
02/10/2010 05:30	0	0.222	0	0.89	0	0.118	0.166	0.176	0.56	0.132	0.172	0.066	0.364	0	0	0	0.122	0	0.146	0	0	0.588	0	0.192	0	0	0.11	1.036	0.09	0	0	0	0
02/10/2010 06:00	0	0.22	0	1.587	0	0.126	0.052	0.152	0.064	0.044	0.02	0.066	0.268	0	0	0	0.228	0	5.408	0	0	0.572	0	0.068	0	0	0.128	0.811	0.008	0	0	0	0
02/10/2010 06:30	0	0.042	0	0.771	0	0.11	0.214	0.156	0.044	0.132	0.03	0.23	0.476	0	0	0	0.124	0	3.672	0	0	0.362	0	0.06	0	0	0.182	0.557	0.088	0	0	0	0
02/10/2010 07:00	0	0.018	0	0.818	0	0.134	0.228	0.17	0.772	0.916	0.744	0.12	0.312	0	0	0	0.432	0	1.472	0	0	0.278	0	0.06	0	0	0.506	0.358	0.038	0	0	0	0
02/10/2010 07:30	0	0.018	0	0.334	0	0.104	0.066	0.136	0.428	0.142	0.784	0.068	0.314	0	0	0	0.278	0	1.592	0	0	0.12	0	0.094	0	0	4.058	0.225	0.066	0	0	0	0
02/10/2010 08:00	0	0.018	0	0.187	0	0.14	0.132	0.188	0.89	0.418	0.598	0.15	0.692	0	0	0	0.09	0	1.316	0	0	0.172	0	0.202	0	0	1.74	0.19	0.76	0	0	0	0
02/10/2010 08:30	0	0.018	0	0.209	0	0.098	0.234	0.116	0.26	0.138	2.24	10.056	1.128	0	0	0	0.366	0	0.5	0	0	0.22	0	0.12	0	0	2.452	0.295	0.03	0	0	0	0
02/10/2010 09:00	0	0.018	0	0.312	0	0.148	0.144	0.204	0.296	0.044	0.39	0.508	0.52	0	0	0	2.062	0	0.642	0	0	0.118	0	0.06	0	0	1.798	0.561	0.098	0	0	0	0
02/10/2010 09:30	0	0.018	0	0.247	0	0.092	0.052	0.102	0.236	0.34	0.02	0.616	0.736	0	0	0	0.09	0	1.388	0	0	0.236	0	0.06	0	0	1.884	0.186	0.07	0	0	0	0
