,total_consumo,total_pv,consumo_liquido,hora,dia_semana,final_semana,mes,dia_ano
2010-10-01 00:00:00,24.596000000000004,0.0,24.596000000000004,0.0,4,0,10,274
2010-10-01 00:30:00,20.875,0.0,20.875,0.5,4,0,10,274
2010-10-01 01:00:00,16.268,0.0,16.268,1.0,4,0,10,274
2010-10-01 01:30:00,13.719000000000001,0.0,13.719000000000001,1.5,4,0,10,274
2010-10-01 02:00:00,14.437,0.0,14.437,2.0,4,0,10,274
2010-10-01 02:30:00,17.597,0.0,17.597,2.5,4,0,10,274
2010-10-01 03:00:00,15.564,0.0,15.564,3.0,4,0,10,274
2010-10-01 03:30:00,14.044,0.0,14.044,3.5,4,0,10,274
2010-10-01 04:00:00,17.304,0.0,17.304,4.0,4,0,10,274
2010-10-01 04:30:00,16.525,0.0,16.525,4.5,4,0,10,274
2010-10-01 05:00:00,24.598,0.0,24.598,5.0,4,0,10,274
2010-10-01 05:30:00,40.05199999999999,0.0,40.05199999999999,5.5,4,0,10,274
2010-10-01 06:00:00,30.061,0.0,30.061,6.0,4,0,10,274
2010-10-01 06:30:00,34.584999999999994,0.0,34.584999999999994,6.5,4,0,10,274
2010-10-01 07:00:00,40.287000000000006,0.5489999999999999,39.73800000000001,7.0,4,0,10,274
2010-10-01 07:30:00,38.314,3.6197999999999997,34.6942,7.5,4,0,10,274
2010-10-01 08:00:00,50.099000000000004,9.367,40.732,8.0,4,0,10,274
2010-10-01 08:30:00,51.071000000000005,15.741300000000003,35.3297,8.5,4,0,10,274
2010-10-01 09:00:00,48.368,21.1965,27.1715,9.0,4,0,10,274
2010-10-01 09:30:00,49.153999999999996,27.9424,21.211599999999997,9.5,4,0,10,274
2010-10-01 10:00:00,61.817,32.503299999999996,29.313700000000004,10.0,4,0,10,274
2010-10-01 10:30:00,54.01700000000001,36.374900000000004,17.642100000000006,10.5,4,0,10,274
2010-10-01 11:00:00,53.888999999999996,38.0989,15.790099999999995,11.0,4,0,10,274
2010-10-01 11:30:00,39.388999999999996,40.0817,0.1,11.5,4,0,10,274
2010-10-01 12:00:00,40.409,41.861599999999996,0.1,12.0,4,0,10,274
2010-10-01 12:30:00,36.462999999999994,42.5451,0.1,12.5,4,0,10,274
2010-10-01 13:00:00,41.352000000000004,41.4268,0.1,13.0,4,0,10,274
2010-10-01 13:30:00,32.129,41.0576,0.1,13.5,4,0,10,274
2010-10-01 14:00:00,36.238,38.759699999999995,0.1,14.0,4,0,10,274
2010-10-01 14:30:00,39.085,35.973600000000005,3.111399999999996,14.5,4,0,10,274
2010-10-01 15:00:00,40.111,31.9738,8.137199999999996,15.0,4,0,10,274
2010-10-01 15:30:00,48.194,27.851,20.343000000000004,15.5,4,0,10,274
2010-10-01 16:00:00,53.30200000000001,22.817,30.485000000000007,16.0,4,0,10,274
2010-10-01 16:30:00,56.143,17.109499999999997,39.033500000000004,16.5,4,0,10,274
2010-10-01 17:00:00,52.474999999999994,10.4452,42.029799999999994,17.0,4,0,10,274
2010-10-01 17:30:00,58.14900000000001,5.2002999999999995,52.94870000000001,17.5,4,0,10,274
2010-10-01 18:00:00,69.187,1.3399999999999999,67.847,18.0,4,0,10,274
2010-10-01 18:30:00,78.57100000000001,0.012199999999999999,78.5588,18.5,4,0,10,274
2010-10-01 19:00:00,64.07,0.0,64.07,19.0,4,0,10,274
2010-10-01 19:30:00,68.56,0.0,68.56,19.5,4,0,10,274
2010-10-01 20:00:00,59.016000000000005,0.0,59.016000000000005,20.0,4,0,10,274
2010-10-01 20:30:00,61.218,0.0,61.218,20.5,4,0,10,274
2010-10-01 21:00:00,55.403,0.0,55.403,21.0,4,0,10,274
2010-10-01 21:30:00,54.588,0.0,54.588,21.5,4,0,10,274
2010-10-01 22:00:00,43.761,0.0,43.761,22.0,4,0,10,274
